NAME,TYPE,RESOURCE GROUP,LOCATION,SUBSCRIPTION,RESOURCE LINK
"cespkeval-ai-6c6fxd","Application Insights","rg-collisionspike-dev","UK South","Azure subscription 1","https://portal.azure.com#resource/subscriptions/e6076573-23a5-46a8-acef-7e22d264e5db/resourceGroups/rg-collisionspike-dev/providers/Microsoft.Insights/components/cespkeval-ai-6c6fxd"
"cespkeval-fn-6c6fxd","Function App","rg-collisionspike-dev","UK South","Azure subscription 1","https://portal.azure.com#resource/subscriptions/e6076573-23a5-46a8-acef-7e22d264e5db/resourceGroups/rg-collisionspike-dev/providers/Microsoft.Web/sites/cespkeval-fn-6c6fxd"
"cespkeval-law-6c6fxd","Log Analytics workspace","rg-collisionspike-dev","UK South","Azure subscription 1","https://portal.azure.com#resource/subscriptions/e6076573-23a5-46a8-acef-7e22d264e5db/resourceGroups/rg-collisionspike-dev/providers/Microsoft.OperationalInsights/workspaces/cespkeval-law-6c6fxd"
"cespkeval-plan-6c6fxd","App Service plan","rg-collisionspike-dev","UK South","Azure subscription 1","https://portal.azure.com#resource/subscriptions/e6076573-23a5-46a8-acef-7e22d264e5db/resourceGroups/rg-collisionspike-dev/providers/Microsoft.Web/serverFarms/cespkeval-plan-6c6fxd"
"cespkevalst6c6fxd","Storage account","rg-collisionspike-dev","UK South","Azure subscription 1","https://portal.azure.com#resource/subscriptions/e6076573-23a5-46a8-acef-7e22d264e5db/resourceGroups/rg-collisionspike-dev/providers/Microsoft.Storage/storageAccounts/cespkevalst6c6fxd"
"cespkevastufa3ci","Storage account","rg-collisionspike-dev","UK South","Azure subscription 1","https://portal.azure.com#resource/subscriptions/e6076573-23a5-46a8-acef-7e22d264e5db/resourceGroups/rg-collisionspike-dev/providers/Microsoft.Storage/storageAccounts/cespkevastufa3ci"
"cespkevidstdev01","Storage account","rg-collisionspike-dev","UK South","Azure subscription 1","https://portal.azure.com#resource/subscriptions/e6076573-23a5-46a8-acef-7e22d264e5db/resourceGroups/rg-collisionspike-dev/providers/Microsoft.Storage/storageAccounts/cespkevidstdev01"
"cespkocr-acrpull-id","Managed Identity","rg-collisionspike-dev","UK South","Azure subscription 1","https://portal.azure.com#resource/subscriptions/e6076573-23a5-46a8-acef-7e22d264e5db/resourceGroups/rg-collisionspike-dev/providers/Microsoft.ManagedIdentity/userAssignedIdentities/cespkocr-acrpull-id"
"cespkocr-ai-dev","Application Insights","rg-collisionspike-dev","UK South","Azure subscription 1","https://portal.azure.com#resource/subscriptions/e6076573-23a5-46a8-acef-7e22d264e5db/resourceGroups/rg-collisionspike-dev/providers/Microsoft.Insights/components/cespkocr-ai-dev"
"cespkocr-env-dev","Container Apps Environment","rg-collisionspike-dev","UK South","Azure subscription 1","https://portal.azure.com#resource/subscriptions/e6076573-23a5-46a8-acef-7e22d264e5db/resourceGroups/rg-collisionspike-dev/providers/Microsoft.App/managedEnvironments/cespkocr-env-dev"
"cespkocr-fn-dev-glju3v","Container App","cespkocr-env-dev_FunctionApps_247f14f1-8d57-491f-a325-a97e99634117","UK South","Azure subscription 1","https://portal.azure.com#resource/subscriptions/e6076573-23a5-46a8-acef-7e22d264e5db/resourceGroups/cespkocr-env-dev_FunctionApps_247f14f1-8d57-491f-a325-a97e99634117/providers/Microsoft.App/containerApps/cespkocr-fn-dev-glju3v"
"cespkocr-fn-dev-glju3v","Function App","rg-collisionspike-dev","UK South","Azure subscription 1","https://portal.azure.com#resource/subscriptions/e6076573-23a5-46a8-acef-7e22d264e5db/resourceGroups/rg-collisionspike-dev/providers/Microsoft.Web/sites/cespkocr-fn-dev-glju3v"
"cespkocr-law-dev","Log Analytics workspace","rg-collisionspike-dev","UK South","Azure subscription 1","https://portal.azure.com#resource/subscriptions/e6076573-23a5-46a8-acef-7e22d264e5db/resourceGroups/rg-collisionspike-dev/providers/Microsoft.OperationalInsights/workspaces/cespkocr-law-dev"
"cespkocracraeee76","Container registry","rg-collisionspike-dev","UK South","Azure subscription 1","https://portal.azure.com#resource/subscriptions/e6076573-23a5-46a8-acef-7e22d264e5db/resourceGroups/rg-collisionspike-dev/providers/Microsoft.ContainerRegistry/registries/cespkocracraeee76"
"cespkocrstglju3v","Storage account","rg-collisionspike-dev","UK South","Azure subscription 1","https://portal.azure.com#resource/subscriptions/e6076573-23a5-46a8-acef-7e22d264e5db/resourceGroups/rg-collisionspike-dev/providers/Microsoft.Storage/storageAccounts/cespkocrstglju3v"
"managed-cespkenrich-ai-gi62sd-ws","Log Analytics workspace","ai_cespkenrich-ai-gi62sd_5cf81e27-441e-446f-894c-c2a02506aaa1_managed","UK South","Azure subscription 1","https://portal.azure.com#resource/subscriptions/e6076573-23a5-46a8-acef-7e22d264e5db/resourceGroups/ai_cespkenrich-ai-gi62sd_5cf81e27-441e-446f-894c-c2a02506aaa1_managed/providers/microsoft.operationalinsights/workspaces/managed-cespkenrich-ai-gi62sd-ws"
